,Track ID,Name,Artist,Album,Genre,Location,Kind,Size,Total Time
22,256,Overture,Justin Hurwitz,Whiplash [Original Motion Picture Soundtrack],Jazz,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Justin%20Hurwitz/Whiplash%20%5BOriginal%20Motion%20Picture%20Soundtrack%5D/02%20Overture.mp3,MPEG audio file,8172693,199471
23,258,Practicing,Justin Hurwitz,Whiplash [Original Motion Picture Soundtrack],Jazz,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Justin%20Hurwitz/Whiplash%20%5BOriginal%20Motion%20Picture%20Soundtrack%5D/08%20Practicing.mp3,MPEG audio file,4325380,103288
24,260,Ryan / Breakup,Justin Hurwitz,Whiplash [Original Motion Picture Soundtrack],Jazz,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Justin%20Hurwitz/Whiplash%20%5BOriginal%20Motion%20Picture%20Soundtrack%5D/15%20Ryan%20_%20Breakup.mp3,MPEG audio file,1441359,31190
25,262,Snare Liftoff (I Want To Be One Of The Greats),Justin Hurwitz,Whiplash [Original Motion Picture Soundtrack],Jazz,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Justin%20Hurwitz/Whiplash%20%5BOriginal%20Motion%20Picture%20Soundtrack%5D/01%20Snare%20Liftoff%20(I%20Want%20To%20Be%20One%20Of%20The%20Greats).mp3,MPEG audio file,1942941,43728
26,264,"What’s Your Name (If You Want The Part, Earn It)",Justin Hurwitz,Whiplash [Original Motion Picture Soundtrack],Jazz,"file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Justin%20Hurwitz/Whiplash%20%5BOriginal%20Motion%20Picture%20Soundtrack%5D/07%20What_s%20Your%20Name%20(If%20You%20Want%20The%20Part,%20Earn%20It).mp3",MPEG audio file,3817620,90592
27,266,When I Wake,Justin Hurwitz,Whiplash [Original Motion Picture Soundtrack],Jazz,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Justin%20Hurwitz/Whiplash%20%5BOriginal%20Motion%20Picture%20Soundtrack%5D/21%20When%20I%20Wake.mp3,MPEG audio file,9420304,230661
28,268,Whiplash,Justin Hurwitz,Whiplash [Original Motion Picture Soundtrack],Jazz,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Justin%20Hurwitz/Whiplash%20%5BOriginal%20Motion%20Picture%20Soundtrack%5D/04%20Whiplash.mp3,MPEG audio file,4809161,115382
29,270,Deception,Christina Grimmie,Side A - EP,Pop,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Christina%20Grimmie/Side%20A%20-%20EP/03%20Deception.mp3,MPEG audio file,3249818,197485
30,272,Snow White,Christina Grimmie,Side A - EP,Pop,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Christina%20Grimmie/Side%20A%20-%20EP/01%20Snow%20White.mp3,MPEG audio file,3619712,220604
31,274,Anybody's You,Christina Grimmie,Side A - EP,Pop,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Christina%20Grimmie/Side%20A%20-%20EP/02%20Anybody's%20You.mp3,MPEG audio file,3656492,222902
32,276,Without Him,Christina Grimmie,Side A - EP,Pop,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Christina%20Grimmie/Side%20A%20-%20EP/04%20Without%20Him.mp3,MPEG audio file,3855859,235363
33,278,Do I Wanna Know?,Arctic Monkeys,AM,Rock,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Arctic%20Monkeys/AM/01%20Do%20I%20Wanna%20Know_.mp3,MPEG audio file,10921576,272431
34,280,R U Mine?,Arctic Monkeys,AM,Rock,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Arctic%20Monkeys/AM/02%20R%20U%20Mine_.mp3,MPEG audio file,8095120,201769
35,282,One For the Road,Arctic Monkeys,AM,Rock,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Arctic%20Monkeys/AM/03%20One%20For%20the%20Road.mp3,MPEG audio file,8267536,206080
36,284,Arabella,Arctic Monkeys,AM,Rock,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Arctic%20Monkeys/AM/04%20Arabella.mp3,MPEG audio file,8319772,207386
37,286,I Want It All,Arctic Monkeys,AM,Rock,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Arctic%20Monkeys/AM/05%20I%20Want%20It%20All.mp3,MPEG audio file,7400267,184398
38,288,No. 1 Party Anthem,Arctic Monkeys,AM,Rock,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Arctic%20Monkeys/AM/06%20No.%201%20Party%20Anthem.mp3,MPEG audio file,9748158,243095
39,290,Mad Sounds,Arctic Monkeys,AM,Rock,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Arctic%20Monkeys/AM/07%20Mad%20Sounds.mp3,MPEG audio file,8629064,215118
40,292,Fireside,Arctic Monkeys,AM,Rock,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Arctic%20Monkeys/AM/08%20Fireside.mp3,MPEG audio file,7266515,181054
41,294,Why'd You Only Call Me When You're High?,Arctic Monkeys,AM,Rock,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Arctic%20Monkeys/AM/09%20Why'd%20You%20Only%20Call%20Me%20When%20You're%20High_.mp3,MPEG audio file,6471380,161175
42,296,Snap Out of It,Arctic Monkeys,AM,Rock,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Arctic%20Monkeys/AM/10%20Snap%20Out%20of%20It.mp3,MPEG audio file,7740906,192914
43,298,Knee Socks,Arctic Monkeys,AM,Rock,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Arctic%20Monkeys/AM/11%20Knee%20Socks.mp3,MPEG audio file,10329114,257619
44,300,I Wanna Be Yours,Arctic Monkeys,AM,Rock,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Arctic%20Monkeys/AM/12%20I%20Wanna%20Be%20Yours.mp3,MPEG audio file,7386688,184058
45,302,Criminal,Christina Grimmie,Unreleased Songs,Pop,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Christina%20Grimmie/Unreleased%20Songs/03%20Criminal.mp3,MPEG audio file,3185515,194481
46,304,Colorblind,Christina Grimmie,Unreleased Songs,Pop,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Christina%20Grimmie/Unreleased%20Songs/02%20Colorblind.mp3,MPEG audio file,5437162,223007
47,306,Ain't That The Truth,Christina Grimmie,Unreleased Songs,Pop,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Christina%20Grimmie/Unreleased%20Songs/01%20Ain't%20That%20The%20Truth.mp3,MPEG audio file,9143277,225864
48,308,Temptation,Christina Grimmie,Unreleased Songs,Pop,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Christina%20Grimmie/Unreleased%20Songs/06%20Temptation.mp3,MPEG audio file,7856857,193872
49,310,The Game,Christina Grimmie,Unreleased Songs,Pop,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Christina%20Grimmie/Unreleased%20Songs/05%20The%20Game.mp3,MPEG audio file,2942285,179356
50,312,The Imitation Game,Alexandre Desplat,The Imitation Game [Original Soundtrack],Soundtrack,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Alexandre%20Desplat/The%20Imitation%20Game%20%5BOriginal%20Soundtrack%5D/01%20The%20Imitation%20Game.mp3,MPEG audio file,4851425,157074
51,314,Enigma,Alexandre Desplat,The Imitation Game [Original Soundtrack],Soundtrack,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Alexandre%20Desplat/The%20Imitation%20Game%20%5BOriginal%20Soundtrack%5D/02%20Enigma.mp3,MPEG audio file,5116532,170814
52,316,Alan,Alexandre Desplat,The Imitation Game [Original Soundtrack],Soundtrack,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Alexandre%20Desplat/The%20Imitation%20Game%20%5BOriginal%20Soundtrack%5D/03%20Alan.mp3,MPEG audio file,5354839,177449
53,318,U-Boats,Alexandre Desplat,The Imitation Game [Original Soundtrack],Soundtrack,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Alexandre%20Desplat/The%20Imitation%20Game%20%5BOriginal%20Soundtrack%5D/04%20U-Boats.mp3,MPEG audio file,4117180,132702
54,320,Carrots and Peas,Alexandre Desplat,The Imitation Game [Original Soundtrack],Soundtrack,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Alexandre%20Desplat/The%20Imitation%20Game%20%5BOriginal%20Soundtrack%5D/05%20Carrots%20and%20Peas.mp3,MPEG audio file,4059056,139415
55,322,Mission,Alexandre Desplat,The Imitation Game [Original Soundtrack],Soundtrack,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Alexandre%20Desplat/The%20Imitation%20Game%20%5BOriginal%20Soundtrack%5D/06%20Mission.mp3,MPEG audio file,2915282,96966
56,324,Crosswords,Alexandre Desplat,The Imitation Game [Original Soundtrack],Soundtrack,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Alexandre%20Desplat/The%20Imitation%20Game%20%5BOriginal%20Soundtrack%5D/07%20Crosswords.mp3,MPEG audio file,5446585,172800
57,326,Night Research,Alexandre Desplat,The Imitation Game [Original Soundtrack],Soundtrack,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Alexandre%20Desplat/The%20Imitation%20Game%20%5BOriginal%20Soundtrack%5D/08%20Night%20Research.mp3,MPEG audio file,2889806,99918
58,328,Joan,Alexandre Desplat,The Imitation Game [Original Soundtrack],Soundtrack,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Alexandre%20Desplat/The%20Imitation%20Game%20%5BOriginal%20Soundtrack%5D/09%20Joan.mp3,MPEG audio file,3115456,105900
